max_depth,min_samples_leaf,min_samples_split,n_estimators,criterion,Train_accuracy,Validate_accuracy,Train_Validate_diff
1,1,2,100,gini,0.7343154686309372,0.7340047393364929,0.00031072929444431185
1,1,2,100,entropy,0.7343154686309372,0.7340047393364929,0.00031072929444431185
1,1,2,500,gini,0.7343154686309372,0.7340047393364929,0.00031072929444431185
1,1,2,500,entropy,0.7343154686309372,0.7340047393364929,0.00031072929444431185
1,1,2,1000,gini,0.7343154686309372,0.7340047393364929,0.00031072929444431185
1,1,2,1000,entropy,0.7343154686309372,0.7340047393364929,0.00031072929444431185
1,1,3,100,gini,0.7343154686309372,0.7340047393364929,0.00031072929444431185
1,1,3,100,entropy,0.7343154686309372,0.7340047393364929,0.00031072929444431185
1,1,3,500,gini,0.7343154686309372,0.7340047393364929,0.00031072929444431185
1,1,3,500,entropy,0.7343154686309372,0.7340047393364929,0.00031072929444431185
1,1,3,1000,gini,0.7343154686309372,0.7340047393364929,0.00031072929444431185
1,1,3,1000,entropy,0.7343154686309372,0.7340047393364929,0.00031072929444431185
1,1,4,100,gini,0.7343154686309372,0.7340047393364929,0.00031072929444431185
1,1,4,100,entropy,0.7343154686309372,0.7340047393364929,0.00031072929444431185
1,1,4,500,gini,0.7343154686309372,0.7340047393364929,0.00031072929444431185
1,1,4,500,entropy,0.7343154686309372,0.7340047393364929,0.00031072929444431185
1,1,4,1000,gini,0.7343154686309372,0.7340047393364929,0.00031072929444431185
1,1,4,1000,entropy,0.7343154686309372,0.7340047393364929,0.00031072929444431185
1,1,5,100,gini,0.7343154686309372,0.7340047393364929,0.00031072929444431185
1,1,5,100,entropy,0.7343154686309372,0.7340047393364929,0.00031072929444431185
1,1,5,500,gini,0.7343154686309372,0.7340047393364929,0.00031072929444431185
1,1,5,500,entropy,0.7343154686309372,0.7340047393364929,0.00031072929444431185
1,1,5,1000,gini,0.7343154686309372,0.7340047393364929,0.00031072929444431185
1,1,5,1000,entropy,0.7343154686309372,0.7340047393364929,0.00031072929444431185
1,1,6,100,gini,0.7343154686309372,0.7340047393364929,0.00031072929444431185
1,1,6,100,entropy,0.7343154686309372,0.7340047393364929,0.00031072929444431185
1,1,6,500,gini,0.7343154686309372,0.7340047393364929,0.00031072929444431185
1,1,6,500,entropy,0.7343154686309372,0.7340047393364929,0.00031072929444431185
1,1,6,1000,gini,0.7343154686309372,0.7340047393364929,0.00031072929444431185
1,1,6,1000,entropy,0.7343154686309372,0.7340047393364929,0.00031072929444431185
1,1,7,100,gini,0.7343154686309372,0.7340047393364929,0.00031072929444431185
1,1,7,100,entropy,0.7343154686309372,0.7340047393364929,0.00031072929444431185
